Search term,WOS hit
machine learning  AND acoustic AND biodiversity,21
Random forest  AND acoustic AND biodiversity,14
Neural Network  AND acoustic AND biodiversity,11
deep learning  AND acoustic AND biodiversity,8
Support vector machine  AND acoustic AND biodiversity,8
Regression tree  AND acoustic AND biodiversity,6
Logistic regression  AND Camera trap AND biodiversity,6
decision tree  AND acoustic AND biodiversity,4
Random forest  AND Camera trap AND biodiversity,4
Convolutional Neural Network  AND acoustic AND biodiversity,4
boosting  AND acoustic AND biodiversity,4
Deep Neural Network  AND acoustic AND biodiversity,4
Maximum entropy  AND Camera trap AND biodiversity,3
Neural Network  AND Camera trap AND biodiversity,3
Gaussian process model  AND acoustic AND biodiversity,3
machine learning  AND Camera trap AND biodiversity,2
deep learning  AND Camera trap AND biodiversity,2
Maximum entropy  AND acoustic AND biodiversity,2
Deep Neural Network  AND Camera trap AND biodiversity,2
computer vision  AND Camera trap AND biodiversity,2
decision tree  AND Camera trap AND biodiversity,1
Logistic regression  AND acoustic AND biodiversity,1
computer vision  AND acoustic AND biodiversity,1
Regression tree  AND Camera trap AND biodiversity,1
Partial least square regression  AND acoustic AND biodiversity,1
Convolutional Neural Network  AND Camera trap AND biodiversity,1
boosting  AND Camera trap AND biodiversity,1
Support vector machine  AND Camera trap AND biodiversity,1
Random forest  AND temperature data logger AND biodiversity,0
Regression tree  AND trail camera AND biodiversity,0
Random forest  AND temperature data logger AND biodiversity,0
Regression tree  AND trail camera AND biodiversity,0
boosting  AND temperature data logger AND biodiversity,0
Maximum entropy  AND trail camera AND biodiversity,0
Support vector machine  AND temperature data logger AND biodiversity,0
deep learning  AND trail camera AND biodiversity,0
Partial least square regression  AND Camera trap AND biodiversity,0
Gaussian process model  AND temperature data logger AND biodiversity,0
Convolutional Neural Network  AND trail camera AND biodiversity,0
Fully connected neural network  AND Camera trap AND biodiversity,0
Generative adversarial model  AND acoustic AND biodiversity,0
Deep Neural Network  AND temperature data logger AND biodiversity,0
Random forest  AND trail camera AND biodiversity,0
Logistic regression  AND temperature data logger AND biodiversity,0
boosting  AND trail camera AND biodiversity,0
Neural Network  AND temperature data logger AND biodiversity,0
Support vector machine  AND trail camera AND biodiversity,0
computer vision  AND temperature data logger AND biodiversity,0
Gaussian process model  AND trail camera AND biodiversity,0
Fully connected neural network  AND acoustic AND biodiversity,0
Generative adversarial model  AND temperature data logger AND biodiversity,0
Deep Neural Network  AND trail camera AND biodiversity,0
decision tree  AND temperature data logger AND biodiversity,0
Logistic regression  AND trail camera AND biodiversity,0
machine learning  AND temperature data logger AND biodiversity,0
Neural Network  AND trail camera AND biodiversity,0
Partial least square regression  AND temperature data logger AND biodiversity,0
computer vision  AND trail camera AND biodiversity,0
Gaussian process model  AND Camera trap AND biodiversity,0
Fully connected neural network  AND temperature data logger AND biodiversity,0
Generative adversarial model  AND trail camera AND biodiversity,0
Regression tree  AND temperature data logger AND biodiversity,0
decision tree  AND trail camera AND biodiversity,0
Maximum entropy  AND temperature data logger AND biodiversity,0
machine learning  AND trail camera AND biodiversity,0
deep learning  AND temperature data logger AND biodiversity,0
Partial least square regression  AND trail camera AND biodiversity,0
Convolutional Neural Network  AND temperature data logger AND biodiversity,0
Fully connected neural network  AND trail camera AND biodiversity,0
Generative adversarial model  AND Camera trap AND biodiversity,0
